"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHOSPHO2-KLHL23",17.3366624817242,-7.82589910799856,1.361828752683,-5.74661027870089,9.10502563633379e-09,0.000151765640516684
"KLHL23",40.2611171652595,8.61320199649364,1.52014171722042,5.666051986418,1.46125207506917e-08,0.000151765640516684
"AFAP1-AS1",73.3442631211927,3.07560152569453,0.646277353653302,4.75894986619699,1.94602758786362e-06,0.0134742950183677
"PLCG2",17099.9208081108,0.980445374947512,0.214756518540745,4.56538121221917,4.98587462417553e-06,0.0258916469233435
"MMP7",46.58872143211,3.46182344434589,0.809844446689157,4.27467701791212,1.91414573635546e-05,0.0694547411278043
"GSTA1",293.232703695954,-1.55407464103586,0.364446996188729,-4.26419934116039,2.00620280554027e-05,0.0694547411278043
"CMPK2",113.686192739777,-1.57143932036561,0.377876470281928,-4.15860590418128,3.201957748857e-05,0.0950158090846536
"INO80B",11.3316332075137,6.7865783816039,1.64552452279259,4.12426450508712,3.71921297643619e-05,0.0965693649331657
"C7",81.2657639562615,2.08505114502311,0.526873141197807,3.95740640770358,7.57679591975363e-05,0.174872449827914
"MYBPC1",58.1754587714436,3.28000607081464,0.834801374796767,3.92908561226694,8.52694802202471e-05,0.177121764313497
"COL6A5",49.0463228312758,-2.28537534740616,0.600765657676826,-3.8041045093086,0.000142318089989354,0.268748305932623
"TNFRSF13C",21.9518098478227,2.82505850607827,0.747793400884884,3.77785963708065,0.000158181984306917,0.273813014835273
"CD19",28.4851033565303,2.49611417757375,0.678734438903114,3.67760059679255,0.000235438234144471,0.376194076896074
"SNORA49",292.522258075066,1.34320287073258,0.385748614771751,3.48206790457915,0.000497557502389537,0.705445925163023
"PPDPF",227.548696873162,-1.34178081885535,0.386778025963266,-3.469123706068,0.000522158964375369,0.705445925163023
"REG1A",454.831861754605,-1.11842502098002,0.323393226448329,-3.45840583386097,0.000543382187685748,0.705445925163023
"DYX1C1-CCPG1",7.96444825465716,6.17482416512649,1.8476550100374,3.34197895796656,0.000831833664214139,0.999986993796386
"NLRP2",67.2680549036615,1.82051647140767,0.550062867049419,3.30965164249874,0.000934121505177565,0.999986993796386
"SECTM1",115.156874337857,-1.65853118751085,0.504728436746029,-3.2859872096832,0.00101625624394119,0.999986993796386
"FOS",158.903222127096,-1.05452584514282,0.324878297528298,-3.24591040142029,0.00117075680265514,0.999986993796386
"LOC642236",15.0967846021079,3.13695087908058,0.968239039518319,3.23985168026396,0.00119591889289885,0.999986993796386
"ISG15",38.1851487658252,-1.58571777337862,0.489654256061672,-3.23844376669505,0.0012018371061827,0.999986993796386
"SNORD97",83.2245812661366,-1.78823035640461,0.555764912425122,-3.21760211273781,0.0012926700411407,0.999986993796386
"LOC728554",43.7949075045889,1.81332212200002,0.568057285058237,3.19214658397369,0.0014121964554579,0.999986993796386
"ANKRD22",295.184258285444,-1.0181222194539,0.319572256582698,-3.18589050983666,0.00144309200320358,0.999986993796386
"FCRL1",59.9157020260841,2.111848510917,0.668927371600825,3.15706697105709,0.00159364740435884,0.999986993796386
"HRASLS2",98.9011593040283,-1.80584316128139,0.574045648502483,-3.14581804773245,0.00165623007990433,0.999986993796386
"GSTA3",5.6833870875968,-6.22787370831959,1.99590311819482,-3.12032866302265,0.00180649356568035,0.999986993796386
"MMRN1",47.5450245677326,1.42558081215756,0.457291116777303,3.11744698257895,0.00182424754950987,0.999986993796386
"SCARNA10",126.160996985856,1.27826676698712,0.411837411508694,3.10381410543645,0.00191043324629945,0.999986993796386
"RSAD2",328.500838214937,-1.42382720937558,0.460117545229682,-3.09448579854705,0.00197154373040597,0.999986993796386
"SLC6A12",9.06939027247904,4.91656999428454,1.59058415478936,3.09104675755785,0.00199452223445095,0.999986993796386
"DGKA",117.450964468423,1.07905400149611,0.349210971284338,3.08997737822366,0.00200171740706997,0.999986993796386
"CXCR5",36.7322777237446,2.08914660286264,0.678335612325767,3.079812654535,0.0020713084053106,0.999986993796386
"HIST1H4J",13.5814733761635,-3.60071106349921,1.17057330316106,-3.07602356364673,0.00209781265726909,0.999986993796386
"SERPINA3",120.020868144625,4.07887889119161,1.34076160541262,3.04221039349968,0.00234847682757425,0.999986993796386
"TLR10",110.586290507037,1.78044427175208,0.590507854587182,3.01510684052927,0.00256888747285145,0.999986993796386
"DNM1P46",66.5180064751584,1.49631515899338,0.499454467505869,2.99589903853608,0.00273637016229509,0.999986993796386
"ATP1B1",3218.55167626465,-1.15449967106241,0.391417318846832,-2.94953650610994,0.00318250972042716,0.999986993796386
"SCARA3",65.0464687456093,1.74278011946878,0.591761640174209,2.94507112518432,0.00322880430294538,0.999986993796386
"PAX5",91.8369269444467,2.14108846161244,0.727143815663705,2.94451856082713,0.00323457544690903,0.999986993796386
"SNX29P1",28.2490558572099,1.83203379444804,0.624834336794579,2.93203123862628,0.00336752871971439,0.999986993796386
"CNR1",31.368272377404,2.75939247636384,0.946446761250791,2.91552846851853,0.00355086709974216,0.999986993796386
"CCL21",33.2410066663288,2.37490208291357,0.816400898872574,2.90899003932166,0.00362598412424661,0.999986993796386
"SEMA7A",21.426345987022,2.02234673551758,0.697764746574539,2.89832174159796,0.00375165506569893,0.999986993796386
"RPSAP58",101.070900561925,3.63448605011618,1.27051853404877,2.86063205904925,0.00422797425431875,0.999986993796386
"STAT1",1119.38703204085,-1.1078383688932,0.39096761678141,-2.83358089351066,0.00460296562775903,0.999986993796386
"SLC22A3",41.581492515236,-1.36902512311,0.483411914027472,-2.83200534240908,0.00462570758022769,0.999986993796386
"MUC4",1541.46614555008,-3.43143755323628,1.22073457489812,-2.81096122269058,0.00493937384764225,0.999986993796386
"SOSTDC1",480.644410979313,-1.09186837402421,0.390991989594261,-2.79255944644098,0.00522928580430285,0.999986993796386
"ENTPD3",77.0124902003507,1.45936643837668,0.528585556036167,2.76088974000801,0.00576441337868447,0.999986993796386
"UNC5CL",203.691435244825,-0.92595401086371,0.335583419898912,-2.75923646985491,0.00579365946448471,0.999986993796386
"FCGR1C",5.02181977212377,-4.23396764538143,1.55705359346014,-2.71921767058291,0.00654365306282858,0.999986993796386
"NLRP7",23.0607742202217,2.83075950327029,1.04129893447745,2.71848881194798,0.0065580873598431,0.999986993796386
"ITM2A",98.9538727519327,-1.06541139413777,0.391986805876656,-2.71797769252728,0.00656822662953421,0.999986993796386
"FGD6",237.53974633075,0.794893079850645,0.292731723373739,2.7154319685256,0.00661893739226521,0.999986993796386
"BPIFB1",477.975724005126,4.19734020248159,1.54615842347114,2.71468960668243,0.00663379137515017,0.999986993796386
"EPHB2",24.9320563475092,1.91716195495451,0.709638351462016,2.70160420586729,0.00690058527508427,0.999986993796386
"MMP12",43.9123743302159,2.59335211336256,0.961516587050977,2.69714755656635,0.0069936272989656,0.999986993796386
"ABCB4",23.1841042252288,2.24675898407471,0.840055725160236,2.67453564898465,0.00748328197089394,0.999986993796386
"TMEM80",62.6848584760166,-1.10142990125819,0.412841951010326,-2.66792146137939,0.00763220969156722,0.999986993796386
"LOC728392",14.5389661982146,2.07712393916084,0.781385646914778,2.65825709412779,0.00785459489440639,0.999986993796386
"SPIB",59.4363833464182,1.28050324268916,0.483142568269704,2.6503631159537,0.00804053019524392,0.999986993796386
"IFIT3",194.756045428013,-1.2961688161792,0.489646636578189,-2.64715147486206,0.00811729843093679,0.999986993796386
"IFIT1",90.2426189327387,-1.05569410252652,0.400326582960253,-2.63708219104533,0.00836225675659631,0.999986993796386
"GBP1",290.501031720017,-1.42776134938495,0.541722903787607,-2.63559347297735,0.00839902892575334,0.999986993796386
"LAPTM4A",479.262942916675,-0.679691551072614,0.257993525147029,-2.63452949327028,0.00842539837238036,0.999986993796386
"CXCL5",143.850736663422,1.46480359912313,0.55612137676166,2.6339638437436,0.00843944743458943,0.999986993796386
"BACH2",52.9298129691555,1.64835654384269,0.626288367323247,2.63194501103023,0.00848976025407363,0.999986993796386
"RNU1-13P",1374.77905851142,1.27830807906781,0.486373635308763,2.62824295205948,0.0085827193226136,0.999986993796386
"TMPRSS4",168.361593319889,1.18352664253027,0.454573976924796,2.60359523995819,0.00922516325205019,0.999986993796386
"GOLGA6L4",20.8100939061747,1.66311915741724,0.63988772071228,2.59907965660909,0.00934740797324566,0.999986993796386
"HNRNPH2",160.444254334423,-0.918393961841545,0.353677496999715,-2.59669888424449,0.00941243974270224,0.999986993796386
"GUCY1A3",123.274918052021,1.00396005034939,0.387530178952774,2.59066288221062,0.00957912781517328,0.999986993796386
"PRRX1",39.2918499819336,2.30324838644023,0.890121908983646,2.58756510000986,0.00966569293955718,0.999986993796386
