"","atr01","atr02","atr03","gas01","gas02"
"A1BG",3.41,0,0,5,4
"A1BG-AS1",16.29,0,9.61,11.69,5
"A1CF",39,4,53,36,15
"A2M",3417.99,365,1359.02,1768.98,1238
"A2M-AS1",14.01,2,26,20.02,12
"A2ML1",2,0,0,0,1
"A2MP1",2,0,0,2,1
"A3GALT2",0,0,0,0,0
"A4GALT",12,14,10,22,5
"A4GNT",233,26,259,168,76
"AA06",0,0,0,0,0
"AAAS",83,35,54,49,25
"AACS",205,44,132,125,115
"AACSP1",0,1,2,0,1
"AADAC",142,32,99,140,107
"AADACL2",0,0,0,1,0
"AADACL2-AS1",1.07,0,1.87,0,2.03
"AADACL3",0,0,0,0,0
"AADACL4",0,0,0,0,0
"AADACP1",5,9,3,11,1
"AADAT",27,13,21,26,21
"AAED1",18,7,22,34,4
"AAGAB",438,137,435,344,271
"AAK1",1094.58,410.9,860.11,910.85,829.26
"AAMDC",37,13,43,48,38
"AAMP",228,56,270,211,227
"AANAT",0,0,0,0,0
"AAR2",82,25,82,75,59
"AARD",3.01,0,1,0,0
"AARS",835,203,576,473,421
"AARS2",141.9,46.96,107.11,91.53,69.22
"AARSD1",58,15,34.01,41,24.95
"AASDH",131,34,72,105,50
"AASDHPPT",244,60,239,238,140
"AASS",233.61,109.18,258.39,273.73,226.21
"AATBC",29,7,36,7,12
"AATF",222,63,222,182,185
"AATK",14,5,9,16,21
"AATK-AS1",0,0,0,0,0
"ABALON",39.1,7.33,41.69,33.99,16.93
"ABAT",122,49,199,119,61
"ABCA1",595,141,510,610,338
"ABCA10",77,31,39,87,39.11
"ABCA11P",48.98,10.14,45,36.47,24.21
"ABCA12",16,1,6,1,2
"ABCA13",3,2.93,19,1.01,2
"ABCA17P",4,1,2,1,0
"ABCA2",114,70,45,81,58
"ABCA3",51,9,26,27,7
"ABCA4",0,1,0,0,0
"ABCA5",708.46,325.02,771,951,473.89
"ABCA6",126,62,133,142,75
"ABCA7",79,15,63,37,26
"ABCA8",520,160,389,532,303
"ABCA9",48.97,31.93,40.57,56.67,54.43
"ABCA9-AS1",0,0,0,0,0
"ABCB1",107,17,105.03,63,43
"ABCB10",142,28,137,116,71
"ABCB11",1,1,3,2,1
"ABCB4",75,4,60.97,14,3
"ABCB5",5.03,6.88,4.99,2.09,3.09
"ABCB6",65,7,71,57,34
"ABCB7",143,59,160,133,88
"ABCB8",47,17,42,24,33
"ABCB9",10,0,8,6,2
"ABCC1",575,234,350,330,331
"ABCC10",102,45,50,66,50
"ABCC11",2,3,0,0,1
"ABCC12",0,7,0,3,2
"ABCC13",0,0,4,1,1
"ABCC2",11,2,6,8,9
"ABCC3",1054,312,976,876,719
"ABCC4",357,64,148,190,102
"ABCC5",1489,675,1028,1079,885
"ABCC5-AS1",7,7,4,2,0
