#node	identifier	node_degree
ABCA3	9606.ENSP00000301732	5
ABCA4	9606.ENSP00000359245	9
ABCC6	9606.ENSP00000205557	2
ABCD4	9606.ENSP00000349396	4
ABCG1	9606.ENSP00000354995	7
ABL2	9606.ENSP00000427562	8
ABRAXAS1	9606.ENSP00000369857	8
ACAD9	9606.ENSP00000312618	16
ACHE	9606.ENSP00000303211	12
ACP4	9606.ENSP00000270593	1
ACSBG2	9606.ENSP00000465589	6
ACSM1	9606.ENSP00000301956	5
ACSM3	9606.ENSP00000289416	9
ACTA2	9606.ENSP00000224784	18
ADAD2	9606.ENSP00000268624	0
ADAM20	9606.ENSP00000498512	0
ADAMTS1	9606.ENSP00000284984	8
ADAMTS13	9606.ENSP00000360997	7
ADGRE5	9606.ENSP00000242786	3
ADGRG4	9606.ENSP00000377699	0
AFF1	9606.ENSP00000378578	8
AFG1L	9606.ENSP00000357973	2
AFP	9606.ENSP00000379138	13
AGBL4	9606.ENSP00000360905	1
AGO4	9606.ENSP00000362306	15
AGXT	9606.ENSP00000302620	19
AHDC1	9606.ENSP00000363123	1
AHNAK2	9606.ENSP00000353114	3
AIF1L	9606.ENSP00000361383	0
AK2	9606.ENSP00000499935	16
AKAP9	9606.ENSP00000348573	14
AKIRIN1	9606.ENSP00000392678	0
AKNA	9606.ENSP00000303769	2
ALDH1A2	9606.ENSP00000249750	10
ALDH1L2	9606.ENSP00000258494	2
ALDH4A1	9606.ENSP00000364490	12
ALDH7A1	9606.ENSP00000387123	16
ALDH9A1	9606.ENSP00000346827	11
ALG12	9606.ENSP00000333813	6
ALG1L	9606.ENSP00000482705	1
ALG1L2	9606.ENSP00000479850	1
ALK	9606.ENSP00000373700	24
ALKBH7	9606.ENSP00000245812	1
ALPP	9606.ENSP00000375881	3
ALS2	9606.ENSP00000264276	1
AMER2	9606.ENSP00000426528	3
AMZ1	9606.ENSP00000308149	3
AMZ2	9606.ENSP00000464635	0
ANAPC1	9606.ENSP00000339109	11
ANAPC4	9606.ENSP00000426654	10
ANK1	9606.ENSP00000265709	41
ANK3	9606.ENSP00000280772	43
ANKRD53	9606.ENSP00000353796	1
ANKS1B	9606.ENSP00000449629	3
ANO3	9606.ENSP00000256737	2
ANPEP	9606.ENSP00000300060	14
ANXA13	9606.ENSP00000262219	0
AP2B1	9606.ENSP00000483185	22
APAF1	9606.ENSP00000448165	9
APOBEC3A	9606.ENSP00000384359	5
APOBR	9606.ENSP00000457539	9
ARHGAP10	9606.ENSP00000336923	1
ARHGAP18	9606.ENSP00000357131	1
ARHGAP29	9606.ENSP00000260526	2
ARHGEF19	9606.ENSP00000270747	1
ARHGEF4	9606.ENSP00000316845	7
ARID1B	9606.ENSP00000490491	16
ARL8B	9606.ENSP00000479202	7
ARL9	9606.ENSP00000492671	2
ARMC9	9606.ENSP00000484804	0
ARMH4	9606.ENSP00000267485	0
ARPC1B	9606.ENSP00000389631	6
ARSA	9606.ENSP00000216124	5
ART3	9606.ENSP00000348064	2
ASAP3	9606.ENSP00000338769	0
ASB3	9606.ENSP00000499751	4
ASGR2	9606.ENSP00000347140	0
ASIC2	9606.ENSP00000225823	4
ASMT	9606.ENSP00000370639	2
ASPHD2	9606.ENSP00000215906	1
ATAD3C	9606.ENSP00000368062	1
ATG14	9606.ENSP00000247178	16
ATG16L1	9606.ENSP00000375873	13
ATG9B	9606.ENSP00000491504	5
ATL1	9606.ENSP00000351155	1
ATP11C	9606.ENSP00000332756	2
ATP5MD	9606.ENSP00000358840	5
ATP7B	9606.ENSP00000242839	4
ATXN1	9606.ENSP00000244769	10
ATXN7L3	9606.ENSP00000397259	8
AVPR1A	9606.ENSP00000299178	6
B3GALT5	9606.ENSP00000381699	0
B3GNTL1	9606.ENSP00000319979	4
B4E1Z4_HUMAN	9606.ENSP00000410815	1
B9D1	9606.ENSP00000261499	1
BABAM2	9606.ENSP00000343412	8
BACE2	9606.ENSP00000332979	8
BAZ2B	9606.ENSP00000376534	5
BCAN	9606.ENSP00000331210	13
BCAP29	9606.ENSP00000368414	0
BCO1	9606.ENSP00000258168	2
BDP1	9606.ENSP00000351575	8
BEND3	9606.ENSP00000411268	1
BICRA	9606.ENSP00000379946	6
BIN1	9606.ENSP00000316779	30
BIN2	9606.ENSP00000498807	5
BIN3	9606.ENSP00000276416	4
BLNK	9606.ENSP00000224337	13
BMP1	9606.ENSP00000305714	14
BPHL	9606.ENSP00000369739	0
BPIFA1	9606.ENSP00000346251	0
BRCA1	9606.ENSP00000418960	74
BRD9	9606.ENSP00000419765	8
BTAF1	9606.ENSP00000265990	10
C12orf40	9606.ENSP00000317671	1
C12orf45	9606.ENSP00000447057	0
C12orf66	9606.ENSP00000311486	4
C14orf180	9606.ENSP00000333041	1
C15orf39	9606.ENSP00000353854	1
C19orf48	9606.ENSP00000375688	0
C1orf122	9606.ENSP00000362133	1
C1orf53	9606.ENSP00000356363	0
C1orf94	9606.ENSP00000435634	2
C20orf27	9606.ENSP00000217195	0
C20orf96	9606.ENSP00000353470	2
C2CD2L	9606.ENSP00000338885	0
C4B	9606.ENSP00000415941	12
C5	9606.ENSP00000223642	9
C7	9606.ENSP00000322061	2
C9	9606.ENSP00000263408	7
CABYR	9606.ENSP00000483621	2
CACFD1	9606.ENSP00000440832	1
CACNA1F	9606.ENSP00000365441	18
CACNA1G	9606.ENSP00000352011	19
CACNA1I	9606.ENSP00000385019	11
CACNA2D3	9606.ENSP00000419101	12
CACNB2	9606.ENSP00000320025	24
CAMK1D	9606.ENSP00000478874	4
CAMK1G	9606.ENSP00000009105	3
