,SYMBOL,Gene,Feature
0,,,
1,YRDC,ENSG00000196449,ENST00000373044
2,C1orf122,ENSG00000197982,ENST00000419397
3,C1orf122,ENSG00000197982,ENST00000373043
4,MTF1,ENSG00000188786,ENST00000373036
5,C1orf122,ENSG00000197982,ENST00000468084
6,C1orf122,ENSG00000197982,ENST00000373042
7,SZT2,ENSG00000198198,ENST00000470139
8,SZT2,ENSG00000198198,ENST00000478140
9,SZT2,ENSG00000198198,ENST00000562955
10,HIST2H3DP1,ENSG00000213244,ENST00000401004
11,HIST2H2BA,ENSG00000223345,ENST00000430394
12,RP11-439A17.10,ENSG00000234998,ENST00000426275
13,HIST2H2BA,ENSG00000223345,ENST00000412169
14,RP11-439A17.4,ENSG00000227193,ENST00000427872
15,,,ENSR00001759596
16,CELF3,ENSG00000159409,ENST00000420342
17,CELF3,ENSG00000159409,ENST00000478829
18,CELF3,ENSG00000159409,ENST00000290583
19,CELF3,ENSG00000159409,ENST00000290585
20,CELF3,ENSG00000159409,ENST00000470688
21,CELF3,ENSG00000159409,ENST00000419910
22,CELF3,ENSG00000159409,ENST00000479893
23,RIIAD1,ENSG00000178796,ENST00000326413
24,RP11-98D18.1,ENSG00000227045,ENST00000457548
25,OR10J8P,ENSG00000251686,ENST00000504659
26,RP11-550P17.5,ENSG00000228560,ENST00000431862
27,,,
28,BIN1,ENSG00000136717,ENST00000348750
29,BIN1,ENSG00000136717,ENST00000393041
30,BIN1,ENSG00000136717,ENST00000376113
31,BIN1,ENSG00000136717,ENST00000352848
32,BIN1,ENSG00000136717,ENST00000393040
33,BIN1,ENSG00000136717,ENST00000462958
34,BIN1,ENSG00000136717,ENST00000259238
35,BIN1,ENSG00000136717,ENST00000484253
36,BIN1,ENSG00000136717,ENST00000346226
37,BIN1,ENSG00000136717,ENST00000357970
38,BIN1,ENSG00000136717,ENST00000316724
39,BIN1,ENSG00000136717,ENST00000351659
40,BIN1,ENSG00000136717,ENST00000466111
41,BIN1,ENSG00000136717,ENST00000409400
42,LINC01090,ENSG00000231689,ENST00000434418
43,AC104131.1,ENSG00000213115,ENST00000392363
