#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA3	LPCAT1	9606.ENSP00000301732	9606.ENSP00000283415	0	0	0	0	0.151	0	0	0.569	0.619
ABCA3	ABCA4	9606.ENSP00000301732	9606.ENSP00000359245	0	0	0.073	0.826	0	0.271	0	0.189	0.404
ABCA3	ABCD4	9606.ENSP00000301732	9606.ENSP00000349396	0	0	0	0	0	0	0	0.464	0.464
ABCA3	RTEL1	9606.ENSP00000301732	9606.ENSP00000353332	0	0	0	0	0.043	0	0	0.488	0.489
ABCA3	SFTPD	9606.ENSP00000301732	9606.ENSP00000361366	0	0	0	0	0.138	0.045	0	0.542	0.590
ABCA4	MYH9	9606.ENSP00000359245	9606.ENSP00000216181	0	0	0	0	0	0	0	0.400	0.400
ABCA4	CDH23	9606.ENSP00000359245	9606.ENSP00000224721	0	0	0	0	0	0.057	0	0.406	0.416
ABCA4	ARHGAP29	9606.ENSP00000359245	9606.ENSP00000260526	0	0	0	0	0.078	0.046	0	0.545	0.564
ABCA4	TIMP3	9606.ENSP00000359245	9606.ENSP00000266085	0	0	0	0	0.062	0	0	0.419	0.431
ABCA4	POC1B	9606.ENSP00000359245	9606.ENSP00000323302	0	0	0	0	0	0.051	0	0.420	0.426
ABCA4	ABCD4	9606.ENSP00000359245	9606.ENSP00000349396	0	0	0	0	0	0	0	0.491	0.491
ABCA4	CACNA1F	9606.ENSP00000359245	9606.ENSP00000365441	0	0	0	0	0.059	0.061	0	0.453	0.474
ABCA4	MYO7A	9606.ENSP00000359245	9606.ENSP00000386331	0	0	0	0	0.059	0	0	0.627	0.634
ABCC6	CUL7	9606.ENSP00000205557	9606.ENSP00000438788	0	0	0	0	0.051	0	0	0.406	0.413
ABCC6	ENPP1	9606.ENSP00000205557	9606.ENSP00000498074	0	0	0	0	0.057	0	0	0.731	0.736
ABCD4	MMUT	9606.ENSP00000349396	9606.ENSP00000274813	0	0	0	0	0.048	0	0	0.591	0.594
ABCD4	PEX11B	9606.ENSP00000349396	9606.ENSP00000358312	0	0	0	0	0.089	0	0	0.379	0.411
ABCG1	SULT2B1	9606.ENSP00000354995	9606.ENSP00000201586	0	0	0	0	0.055	0	0	0.716	0.720
ABCG1	PPARD	9606.ENSP00000354995	9606.ENSP00000310928	0	0	0	0	0.042	0.053	0	0.412	0.420
ABCG1	LPA	9606.ENSP00000354995	9606.ENSP00000321334	0	0	0	0	0.055	0	0	0.659	0.663
ABCG1	WDR4	9606.ENSP00000354995	9606.ENSP00000381266	0	0	0	0	0	0	0	0.467	0.467
ABCG1	VLDLR	9606.ENSP00000354995	9606.ENSP00000371532	0	0	0	0	0.059	0	0	0.474	0.484
ABCG1	CD36	9606.ENSP00000354995	9606.ENSP00000415743	0	0	0	0	0.047	0	0	0.705	0.707
ABCG1	NR1H3	9606.ENSP00000354995	9606.ENSP00000477707	0	0	0	0	0.082	0.053	0.500	0.862	0.932
ABL2	ACTA2	9606.ENSP00000427562	9606.ENSP00000224784	0	0	0	0	0.073	0.070	0	0.375	0.414
ABL2	CLASP2	9606.ENSP00000427562	9606.ENSP00000327760	0	0	0	0	0	0.073	0.500	0.090	0.541
ABL2	ERBB4	9606.ENSP00000427562	9606.ENSP00000342235	0	0	0	0.595	0	0.400	0	0.126	0.453
ABL2	NUP214	9606.ENSP00000427562	9606.ENSP00000352400	0	0	0	0	0	0	0	0.597	0.597
ABL2	CTTN	9606.ENSP00000427562	9606.ENSP00000365745	0	0	0	0	0.086	0.331	0	0.653	0.770
ABL2	EVL	9606.ENSP00000427562	9606.ENSP00000376652	0	0	0	0	0	0.400	0	0.138	0.461
ABL2	EPHB2	9606.ENSP00000427562	9606.ENSP00000383053	0	0	0	0.606	0.074	0.323	0	0.404	0.594
ABL2	THOC5	9606.ENSP00000427562	9606.ENSP00000420306	0	0	0	0	0.049	0	0	0.497	0.501
ABRAXAS1	RPS27A	9606.ENSP00000369857	9606.ENSP00000272317	0	0	0	0	0.048	0	0.500	0	0.503
ABRAXAS1	H2BC5	9606.ENSP00000369857	9606.ENSP00000289316	0	0	0	0	0.043	0	0.500	0.076	0.519
ABRAXAS1	MRPS18C	9606.ENSP00000369857	9606.ENSP00000295491	0	0	0	0	0.116	0	0	0.368	0.418
ABRAXAS1	FANCI	9606.ENSP00000369857	9606.ENSP00000310842	0	0	0	0	0.044	0	0	0.399	0.401
ABRAXAS1	BABAM2	9606.ENSP00000369857	9606.ENSP00000343412	0	0	0	0	0	0.994	0.900	0.997	0.999
ABRAXAS1	STAMBPL1	9606.ENSP00000369857	9606.ENSP00000360992	0	0	0	0	0.047	0.401	0	0.058	0.415
ABRAXAS1	CHEK1	9606.ENSP00000369857	9606.ENSP00000391090	0	0	0	0	0.049	0	0	0.446	0.450
ABRAXAS1	BRCA1	9606.ENSP00000369857	9606.ENSP00000418960	0	0	0	0	0.056	0.994	0.900	0.997	0.999
ACAD9	NDUFA10	9606.ENSP00000312618	9606.ENSP00000252711	0	0	0	0	0.138	0	0.500	0.454	0.744
ACAD9	GATB	9606.ENSP00000312618	9606.ENSP00000263985	0	0	0	0	0.324	0.088	0	0.200	0.464
ACAD9	ACSM3	9606.ENSP00000312618	9606.ENSP00000289416	0.044	0	0	0	0.189	0	0.187	0.252	0.465
ACAD9	ACSM1	9606.ENSP00000312618	9606.ENSP00000301956	0.044	0	0	0	0.189	0	0.187	0.173	0.409
ACAD9	SARDH	9606.ENSP00000312618	9606.ENSP00000360938	0.042	0	0	0	0.069	0.113	0.106	0.326	0.436
ACAD9	ACSBG2	9606.ENSP00000312618	9606.ENSP00000465589	0.050	0	0	0	0.140	0.071	0.189	0.256	0.458
ACAD9	PCCA	9606.ENSP00000312618	9606.ENSP00000365462	0.057	0	0	0	0.149	0.052	0.229	0.234	0.469
ACAD9	ECHDC2	9606.ENSP00000312618	9606.ENSP00000360577	0.046	0	0	0	0.306	0.091	0.185	0.093	0.474
ACAD9	PDHA1	9606.ENSP00000312618	9606.ENSP00000369134	0	0	0	0	0.147	0.161	0	0.345	0.491
ACAD9	NDUFB2	9606.ENSP00000312618	9606.ENSP00000419087	0	0	0	0	0.060	0	0.500	0.145	0.563
ACAD9	MT-ATP6	9606.ENSP00000312618	9606.ENSP00000354632	0	0	0	0	0.063	0.422	0	0.330	0.605
ACAD9	MT-ND3	9606.ENSP00000312618	9606.ENSP00000355206	0	0	0	0	0	0	0.500	0.390	0.682
ACAD9	MT-ND1	9606.ENSP00000312618	9606.ENSP00000354687	0	0	0	0	0.072	0.095	0.500	0.336	0.684
ACAD9	NDUFA11	9606.ENSP00000312618	9606.ENSP00000389160	0	0	0	0	0.075	0	0.500	0.437	0.717
ACAD9	MT-ND2	9606.ENSP00000312618	9606.ENSP00000355046	0	0	0	0	0.049	0.095	0.500	0.613	0.811
ACAD9	ETFA	9606.ENSP00000312618	9606.ENSP00000452762	0.070	0.012	0	0	0.380	0.472	0.233	0.513	0.865
ACHE	SYN1	9606.ENSP00000303211	9606.ENSP00000295987	0	0	0	0	0.122	0	0	0.382	0.434
ACHE	CYP2D6	9606.ENSP00000303211	9606.ENSP00000496150	0	0	0	0	0.072	0	0	0.392	0.412
ACHE	ELAVL1	9606.ENSP00000303211	9606.ENSP00000385269	0	0	0	0	0	0	0	0.422	0.422
ACHE	GYPA	9606.ENSP00000303211	9606.ENSP00000354003	0	0	0	0	0.062	0	0	0.447	0.459
ACHE	CD2AP	9606.ENSP00000303211	9606.ENSP00000352264	0	0	0	0	0.068	0	0	0.482	0.496
ACHE	NPY	9606.ENSP00000303211	9606.ENSP00000384364	0	0	0	0	0.063	0	0	0.509	0.520
ACHE	CRAT	9606.ENSP00000303211	9606.ENSP00000315013	0	0	0	0	0.072	0	0	0.506	0.522
ACHE	PRIMA1	9606.ENSP00000303211	9606.ENSP00000376848	0	0	0	0	0.084	0	0	0.603	0.620
ACHE	AFP	9606.ENSP00000303211	9606.ENSP00000379138	0	0	0	0	0.067	0	0	0.648	0.657
ACHE	MGAM	9606.ENSP00000303211	9606.ENSP00000447378	0	0	0	0	0.060	0	0	0.785	0.789
ACHE	HSPG2	9606.ENSP00000303211	9606.ENSP00000363827	0	0	0	0	0.079	0.111	0	0.882	0.895
ACHE	CHAT	9606.ENSP00000303211	9606.ENSP00000337103	0	0	0	0	0	0	0	0.933	0.933
ACP4	LAMB3	9606.ENSP00000270593	9606.ENSP00000375778	0	0	0	0	0	0	0	0.416	0.416
